SHS_date,Model,Changes,GPU_Share,GPU_Class,GPU_Series,VRAM,Performance,GPU_Launch_Year,Launch_MSRP,PricePerDollar,Availability
01/01/2026,RTX 4080 SUPER,-0.0001,0.67,Top,GF40,16,90,2024,999,9,Y
01/01/2026,GTX 1070,0,0.66,Mid,GF10,8,50,2016,379,13,N
01/01/2026,RX 7800 XT,-0.0002,0.65,Top,R7000,16,80,2023,499,16,Y
01/01/2026,RX 5700 XT,0.0001,0.62,Mid+,R5000,8,70,2019,399,18,N
01/01/2026,GTX 1050,0,0.6,Lower,GF10,2,15,2016,139,11,N
01/01/2026,RX 580,-0.0001,0.59,Mid,R500,8,30,2017,229,13,N
01/01/2026,RTX 3080 Ti,0,0.58,Top+,GF30,12,85,2021,1199,7,N
01/01/2026,RX 6700 XT,-0.0001,0.57,Mid+,R6000,12,75,2021,479,16,N
01/01/2026,RX 7600,0.0002,0.51,Mid,R7000,8,70,2023,269,26,Y
01/01/2026,RX 7900 XTX,0,0.5,Top+,R7000,24,90,2022,999,9,Y
01/01/2026,GTX 1660,-0.0001,0.49,Mid,GF16,6,40,2019,219,18,N
01/01/2026,RTX 2070,-0.0003,0.45,Mid+,GF20,8,65,2018,499,13,N
01/01/2026,RTX 5090,0.0001,0.45,Top+,GF50,32,125,2025,1999,6,Y
01/01/2026,GTX 1080,0,0.43,Top,GF10,8,60,2016,599,10,N
01/01/2026,RTX 3090,0,0.39,Top+,GF30,24,85,2020,1499,6,N
01/01/2026,RX 6600 XT,0,0.35,Mid,R6000,8,70,2021,379,18,Y
01/01/2026,RX 7900 XT,0,0.34,Top+,R7000,20,85,2022,899,9,Y
01/01/2026,RX 6750 XT,0,0.33,Mid+,R6000,12,75,2021,499,15,N
01/01/2026,GTX 1080 Ti,0,0.33,Top+,GF10,11,70,2017,699,10,N
